1_P1,1_P2,1_T,1_F,1_CV,1_X,1_PV,Juice temperature inlet,Juice temperature outlet,Juice density inlet,Juice density outlet,Steam flow,Steam pressure,Steam temperature,Vapour pressure,Vapour temperature,2_P1,2_P2,2_T,2_PV,2_CV,2_X,3_P1,3_P2,3_T,3_F,3_CV,3_X,3_PV,3_Steam flow,3_Steam pressure,3_Steam temperature,drifting
636.9,338.7,97.0,357.0,34.8,33.9,49.0,129.3,134.5,12.8,26.8,65.1,261.2,139.0,174.6,133.4,495.7,169.5,94.5,52.4,72.0,71.9,3521.4,2647.1,99.5,26.3,49.7,52.4,48.0,13.8,2475.2,396.2,0
641.5,346.3,96.9,358.4,34.9,33.7,48.5,129.3,134.5,12.8,26.8,64.9,261.4,139.0,174.6,133.5,495.7,169.5,94.5,52.9,72.3,71.4,3490.1,2647.1,99.5,26.6,49.0,51.6,49.7,13.9,2475.2,396.2,0
640.3,355.6,96.9,358.7,34.6,33.4,49.1,129.3,134.5,12.8,26.8,64.6,261.1,139.0,174.6,133.5,494.3,169.2,94.5,52.5,72.6,72.1,3471.6,2650.1,99.5,26.9,51.3,48.6,50.4,13.8,2475.2,396.3,0
640.8,349.0,97.0,359.0,35.3,34.1,48.9,129.3,134.5,12.8,26.7,64.2,261.2,139.0,174.5,133.4,496.0,169.2,94.7,51.9,72.2,71.7,3468.6,2639.3,99.5,23.8,49.9,52.0,50.5,14.0,2476.2,396.2,0
651.0,332.1,96.9,357.5,35.2,34.7,49.7,129.3,134.5,12.8,26.6,64.7,260.7,139.0,174.5,133.5,496.2,169.5,94.5,51.8,71.8,71.9,3464.7,2650.1,99.5,23.8,51.0,51.7,50.3,13.9,2476.2,396.2,0
650.3,341.6,97.0,354.7,36.5,34.4,49.7,129.3,134.5,12.8,26.6,65.1,260.9,139.0,174.7,133.5,495.7,169.5,94.5,51.5,71.7,71.9,3470.6,2644.2,99.5,23.1,51.6,51.5,51.0,13.9,2476.2,396.3,0
657.1,335.0,96.9,351.9,36.2,35.8,49.9,129.3,134.4,12.8,26.6,64.0,260.7,139.0,174.5,133.5,496.5,169.5,94.4,51.8,72.0,71.9,3521.4,2654.9,99.5,23.5,45.5,51.8,49.7,13.8,2476.2,396.3,0
657.4,330.4,96.9,347.7,36.6,35.5,49.4,129.3,134.5,12.8,26.5,64.3,260.5,139.0,174.5,133.5,496.7,169.7,94.5,51.8,71.9,71.8,3535.0,2638.3,99.5,27.1,51.7,48.6,50.6,13.9,2476.2,396.2,0
661.8,334.8,96.9,345.9,35.2,36.3,48.9,129.3,134.5,12.8,26.5,64.4,260.7,139.0,174.5,133.5,496.0,169.7,94.5,52.2,72.1,71.8,3535.0,2647.1,99.5,27.1,46.8,51.6,50.0,14.0,2475.2,396.2,0
660.3,335.5,97.0,344.6,35.2,35.7,48.9,129.3,134.5,12.8,26.4,65.4,261.0,139.0,174.7,133.5,494.5,169.7,94.5,52.4,72.3,71.8,3496.9,2655.9,99.6,28.4,42.8,49.8,48.5,14.1,2475.2,396.5,0
